temperature,humidity,winddirection,windspeed,precipitation,pm10
-0.6,83,197,13.9,0,44.0022
0.9,82,195,15.6,0,62.1048
1.5,83,196,16.5,0,33.5868
2.6,83,193,17.4,0,10.5761
3.3,83,192,18.4,0,15.7071
3.8,83,198,16.6,0,19.7991
4.5,83,191,18.7,0.1,14.5128
4.7,82,185,21,0,13.3329
4.4,82,184,19.1,0,13.6074
3.7,83,184,17.7,0,19.9011
3,86,180,16.6,0,14.8698
2.7,86,175,17,0,20.9345
2.6,86,174,16.7,0,20.2221
2.9,86,175,16.3,0,18.8355
2.8,86,172,16,0,30.2659
2.7,87,171,16.4,0,45.0916
2.5,87,174,16.3,0,35.9218
2.4,86,174,16.7,0,21.6201
2.1,86,198,4.6,0,15.2913
2.3,84,189,4.7,0,22.4978
1.9,83,176,4.7,0,13.022
1.6,83,163,4.9,0,20.0112
1.4,83,160,5.4,0,18.3489
1.5,82,170,6.2,0,19.225
1.3,83,177,7.9,0,21.6406
1.6,86,186,10.9,0,23.9093
2.4,85,338,5.8,0,64.0866
3.3,83,345,5.6,0,39.0409
4.1,80,332,6.1,0,12.8203
4.5,75,345,5.6,0,21.3401
4.6,74,18,5.7,0,14.0516
4.2,78,28,6.1,0,17.4899
4,81,45,7.6,0,13.1018
3.8,86,52,8.7,0,10.8894
3.8,89,58,10.2,0,5.71302
3.9,91,62,11.4,0.1,8.12663
4,93,132,14.5,0.1,11.1706
3.5,95,123,13.8,0.1,10.2664
3.5,96,117,12.1,0.1,7.49854
3.4,97,111,10.8,0.1,7.06364
3.2,97,103,10,0,7.89395
2.9,98,97,8.4,0,8.92845
2.6,98,141,13,0,12.9019
2.2,98,153,12.6,0,9.9391
1.7,97,160,12.6,0,9.24895
1.3,96,162,13.7,0,12.8022
1.1,96,159,14.2,0,9.57191
0.9,95,157,14.8,0,15.4003
0.7,95,155,13.9,0,13.6608
0.6,96,153,12.6,0,31.1139
0.9,95,150,12.1,0,17.5176
1,91,143,15.7,0,19.0957
1.4,87,153,13.4,0,17.1007
1.6,84,152,14.3,0,13.6503
1.9,81,159,13.1,0,12.9785
2.1,78,164,11.6,0,20.7466
2.1,77,159,8.9,0,22.5763
1.5,81,143,7.2,0,16.072
0.7,86,143,7.7,0,79.2368
-0.2,90,146,6.5,0,114.116
0,87,145,4.4,0,133.047
0.2,89,166,1.5,0,173.704
-0.5,91,243,1.6,0,160.721
-1.6,93,265,4,0,152.792
-2.3,96,259,3.7,0,143.807
-2.1,97,259,3.7,0,143.589
-2.1,97,252,5.7,0,121.694
-2.6,99,249,5,0,129.517
-3,98,237,6,0,103.99
-3.6,97,234,6.2,0,90.3542
-3.6,95,236,6.5,0,80.3716
-3.5,95,243,7.2,0,52.8071
-3.4,95,246,7.9,0,73.4321
-2.6,92,242,9.3,0,72.6326
-1.3,83,236,10.9,0,52.064
0.8,74,227,12.7,0,18.0108
2.6,69,218,10.5,0,15.342
3.4,67,218,13.3,0,10.8135
3.5,67,223,15.3,0,17.0774
3.3,70,223,14.8,0,18.6209
2.6,73,211,16,0,15.3793
1.4,77,206,15.6,0,23.6982
0.7,79,198,14.8,0,28.4437
1.1,78,191,16.5,0,30.8565
1.5,78,189,17.9,0,15.9431
1.1,80,184,18.8,0,13.3445
1.4,80,184,18.8,0,7.4779
1.8,80,187,19.6,0.1,7.17068
2.2,80,191,20.2,0.1,7.1172
2.4,81,186,21.7,0.1,5.38864
2.6,81,188,21.8,0,4.63563
2.9,81,192,23.6,0.1,4.50475
3,80,189,25.2,0.1,3.27718
3.2,80,182,25.6,0,3.03133
3.2,80,179,26.3,0,3.226
3.3,78,177,27.8,0,1.74871
3.3,78,174,30.4,0,5.2047
3.3,78,177,31.4,0,5.53576
3.5,76,181,33.5,0.1,3.61394
3.8,75,179,36.7,0,5.14638
4.1,76,175,39.7,0.1,6.13349
4,80,166,39,0.3,8.79742
3.2,89,147,35.1,0.7,7.13515
2.3,94,133,30.8,1,7.39239
1.9,90,135,25.5,0.3,6.99444
1.5,83,137,24.7,0,5.85551
0.7,81,131,24.8,0,4.41098
0.3,81,130,24.3,0,4.70813
0,80,133,23.2,0,10.0438
-0.3,76,137,22.2,0,6.71035
-0.5,75,141,21,0,5.31224
-0.7,75,147,20.3,0,15.148
-1,76,147,21.6,0,9.86023
-1.3,77,152,19.7,0,9.46555
-1.6,78,157,19.2,0,16.181
-1.8,79,158,18.6,0,17.4149
-1.7,81,158,19.1,0,12.7423
-1.8,83,155,20.3,0,7.25614
-1.8,85,154,19.6,0,8.96501
-1.8,86,154,19.6,0,15.2924
-1.8,86,157,19.2,0,15.9267
-1.5,86,157,18.4,0,21.8542
-0.8,85,153,18.2,0,18.0564
0,83,149,19.4,0,13.7732
0.8,78,152,18.7,0,17.0717
1.1,77,148,19.1,0,20.999
1.6,74,148,17.8,0,21.5708
1.6,72,152,15.9,0,15.6112
1.3,74,151,14,0,21.7522
0.6,77,154,11.6,0,19.7399
-0.2,81,157,11,0,27.8506
-0.3,83,160,9.6,0,30.6018
-0.5,85,171,8.8,0,75.699
-0.5,86,178,8.6,0,47.7615
-0.4,87,180,7.9,0,38.7115
-1,90,189,7.3,0,13.7181
-1,90,205,6.8,0,11.0303
-0.7,90,209,7.4,0,10.7477
-0.6,90,215,8.8,0,13.9906
-0.4,89,218,8.7,0,9.02319
